Child's First Name,Summation of Counts,Ethnicity
BAILA,90,WHITE NON HISP
BARUCH,36,WHITE NON HISP
BATSHEVA,114,WHITE NON HISP
BEATRICE,58,WHITE NON HISP
BECKETT,22,WHITE NON HISP
BELLA,38,ASIAN AND PACI
BELLA,28,BLACK NON HISP
BELLA,92,HISPANIC
BELLA,44,WHITE NON HISP
BEN,36,WHITE NON HISP
BENJAMIN,92,ASIAN AND PACI
BENJAMIN,48,BLACK NON HISP
BENJAMIN,124,HISPANIC
BENJAMIN,436,WHITE NON HISP
BENNETT,20,WHITE NON HISP
BENSON,30,ASIAN AND PACI
BENTZION,24,WHITE NON HISP
BENZION,26,WHITE NON HISP
BIANCA,44,HISPANIC
BIANCA,20,WHITE NON HISP
BINTOU,22,BLACK NON HISP
BINYOMIN,22,WHITE NON HISP
BLAKE,48,BLACK NON HISP
BLAKE,24,HISPANIC
BLAKE,48,WHITE NON HISP
BLIMA,74,WHITE NON HISP
BLIMY,42,WHITE NON HISP
BONNIE,24,ASIAN AND PACI
BORUCH,22,WHITE NON HISP
BOUBACAR,20,BLACK NON HISP
BRACHA,66,WHITE NON HISP
BRADLEY,20,BLACK NON HISP
BRADLEY,32,HISPANIC
BRADLEY,24,WHITE NON HISP
BRADY,44,WHITE NON HISP
BRANDON,76,ASIAN AND PACI
BRANDON,100,BLACK NON HISP
BRANDON,306,HISPANIC
BRANDON,90,WHITE NON HISP
BRAYAN,46,HISPANIC
BRAYDEN,30,ASIAN AND PACI
BRAYDEN,30,HISPANIC
BRAYDEN,44,WHITE NON HISP
BREINDY,24,WHITE NON HISP
BRENDA,24,HISPANIC
BRENDAN,48,WHITE NON HISP
BRIAN,82,ASIAN AND PACI
BRIAN,24,BLACK NON HISP
BRIAN,76,HISPANIC
BRIAN,40,WHITE NON HISP
BRIANA,68,HISPANIC
BRIANNA,20,ASIAN AND PACI
BRIANNA,64,BLACK NON HISP
BRIANNA,210,HISPANIC
BRIANNA,48,WHITE NON HISP
BRIELLE,84,BLACK NON HISP
BRIELLE,34,HISPANIC
